natCu(d,x)62Zn					
					
					
	fit	fit			
58.6	14.16	0.98	2.25E+02	6.09E+00	2.17E+02
58.7	14.12	0.98	2.26E+02	6.10E+00	2.17E+02
58.8	14.09	0.98	2.26E+02	6.12E+00	2.18E+02
58.9	14.06	0.98	2.27E+02	6.13E+00	2.18E+02
59.0	14.02	0.97	2.27E+02	6.14E+00	2.19E+02
59.1	13.99	0.97	2.28E+02	6.16E+00	2.19E+02
59.2	13.96	0.97	2.28E+02	6.17E+00	2.20E+02
59.3	13.93	0.97	2.29E+02	6.19E+00	2.21E+02
59.4	13.89	0.97	2.29E+02	6.20E+00	2.21E+02
59.5	13.86	0.96	2.30E+02	6.22E+00	2.22E+02
59.6	13.83	0.96	2.30E+02	6.23E+00	2.22E+02
59.7	13.80	0.96	2.31E+02	6.24E+00	2.23E+02
59.8	13.76	0.96	2.32E+02	6.26E+00	2.23E+02
59.9	13.73	0.95	2.32E+02	6.27E+00	2.23E+02
60.0	13.70	0.95	2.33E+02	6.28E+00	2.24E+02
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
