X,Y
3.88630,128.6962
3.89056,126.7764
3.89482,124.3333
3.89908,123.6625
3.90335,124.5148
3.90761,124.1561
3.91187,121.9409
3.91613,122.9873
3.92039,126.0549
3.92465,127.0886
3.92891,125.1224
3.93318,123.1730
3.93744,122.9156
3.94170,123.6835
3.94596,124.5148
3.95022,125.4937
3.95448,126.0717
3.95874,126.3587
3.96300,127.3924
3.96727,129.5949
3.97153,131.1983
3.97579,129.6034
3.98005,126.0000
3.98431,123.9409
3.98857,123.6371
3.99283,122.0380
3.99709,118.9620
4.00136,123.2954
4.00562,126.2321
4.00988,127.2152
4.01414,123.9240
4.01840,123.0000
4.02266,125.3333
4.02692,126.7173
4.03119,126.0591
4.03545,122.6920
4.03971,123.0000
