Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
49CR,2155.7,0.00016,5e-05,2538.0,42.3,0.705,0.029375
60CO,2158.57,0.0012,0.0002,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
47V,2163.0,0.067,0.003,1956.0,32.6,0.5433333333333333,0.02263888888888889
55CO,2177.6,0.29,0.04,63108.0,1051.8,17.53,0.7304166666666667
49CR,2181.6,3.2e-05,2.1e-05,2538.0,42.3,0.705,0.029375
56CO,2212.944,0.388,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
49CR,2218.6,0.00019,6e-05,2538.0,42.3,0.705,0.029375
49CR,2236.2,0.00022,6e-05,2538.0,42.3,0.705,0.029375
48V,2240.396,2.333,0.013,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CR,2240.9,0.00041,0.00012,209.82,3.497,0.05828333333333333,0.002428472222222222
55CR,2252.5,0.0031,0.0004,209.82,3.497,0.05828333333333333,0.002428472222222222
MN-52g,2257.42,0.0027,0.0006,483062.4,8051.04,134.184,5.591
55CR,2268.1,0.00011,4e-05,209.82,3.497,0.05828333333333333,0.002428472222222222
FE-53g,2273.5,0.38,0.05,510.6,8.51,0.14183333333333334,0.0059097222222222225
56CO,2276.131,0.118,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53g,2307.7,0.013,0.004,510.6,8.51,0.14183333333333334,0.0059097222222222225
49CR,2310.6,0.0001,3e-05,2538.0,42.3,0.705,0.029375
51MN,2312.52,0.013,0.0011,2772.0,46.2,0.77,0.03208333333333333
MN-52m,2337.4,0.0069,0.001,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,2337.7,0.0015,0.0009,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
FE-53m,2339.7,13.0,2.3,152.4,2.54,0.042333333333333334,0.001763888888888889
47V,2366.3,0.0084,0.0006,1956.0,32.6,0.5433333333333333,0.02263888888888889
55CR,2368.5,0.00018,4e-05,209.82,3.497,0.05828333333333333,0.002428472222222222
56CO,2373.24,0.08,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,2375.2,0.0087,0.0003,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
48V,2420.94,0.0067,0.0003,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
60CO,2505.692,2e-06,4e-07,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
56MN,2523.06,1.018,0.02,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,2523.09,0.059,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
47V,2525.6,0.0088,0.0005,1956.0,32.6,0.5433333333333333,0.02263888888888889
47V,2548.7,0.0067,0.0004,1956.0,32.6,0.5433333333333333,0.02263888888888889
55CO,2578.7,0.043,0.006,63108.0,1051.8,17.53,0.7304166666666667
56MN,2598.438,0.0198,0.002,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,2598.5,16.97,0.04,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,2657.527,0.019,0.0017,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56MN,2657.56,0.645,0.007,9284.04,154.734,2.5789000000000004,0.10745416666666667
FE-53g,2685.6,0.08,0.022,510.6,8.51,0.14183333333333334,0.0059097222222222225
FE-53g,2748.8,0.14,0.04,510.6,8.51,0.14183333333333334,0.0059097222222222225
47V,2793.3,0.00065,0.00012,1956.0,32.6,0.5433333333333333,0.02263888888888889
55CO,2872.4,0.118,0.008,63108.0,1051.8,17.53,0.7304166666666667
55CO,2938.9,0.057,0.01,63108.0,1051.8,17.53,0.7304166666666667
FE-53g,2946.6,0.05,0.017,510.6,8.51,0.14183333333333334,0.0059097222222222225
56MN,2959.92,0.306,0.005,9284.04,154.734,2.5789000000000004,0.10745416666666667
52V,2965.0,0.0005,0.0002,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,2965.0,0.0004,0.0003,1266.0,21.1,0.3516666666666667,0.014652777777777778
56CO,3009.645,1.036,0.013,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53m,3040.6,0.06,0.011,152.4,2.54,0.042333333333333334,0.001763888888888889
55CO,3108.3,0.0053,0.0023,63108.0,1051.8,17.53,0.7304166666666667
MN-52m,3129.0,7e-05,7e-05,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,3161.7,0.0009,0.0002,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,3161.8,0.022,0.003,1266.0,21.1,0.3516666666666667,0.014652777777777778
56CO,3202.029,3.209,0.012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53g,3248.8,0.038,0.021,510.6,8.51,0.14183333333333334,0.0059097222222222225
56CO,3253.503,7.923,0.021,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3273.079,1.8759,0.002,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56MN,3369.81,0.168,0.01,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,3369.86,0.0101,0.0007,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52m,3381.5,0.0025,0.0005,1266.0,21.1,0.3516666666666667,0.014652777777777778
56CO,3451.232,0.949,0.005,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3548.05,0.1955,0.0015,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3600.8,0.0167,0.0005,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3611.53,0.0086,0.0003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52m,3771.7,0.0018,0.0004,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,3772.0,0.001,0.0005,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,3951.0,0.0007,0.0003,1266.0,21.1,0.3516666666666667,0.014652777777777778
MN-52m,4815.4,0.0025,0.0004,1266.0,21.1,0.3516666666666667,0.014652777777777778
