#ZVView-data-copy:  22-May-2020 09:51:50
#=======================================
#
#name:   26-FE-0(D,X)27-CO-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  155
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         19.11          0.3         0.07       0.0083  # 1996,S.Takacs+           ## D4044004  #dY:11.9%  
         19.29         0.28       0.0656       0.0049  # 2014,M.Avrigeanu+        ## D0672007  #dY:7.5%   
         19.35         0.28       0.0654       0.0038  # 2014,M.Avrigeanu+        ## D0672007  #dY:5.8%   
         19.39         0.51      0.06301      0.00016  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.3%   
         19.68         0.29        0.071       0.0082  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
         19.74         0.28       0.0626       0.0041  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.5%   
        19.891        0.109      0.04285      0.00203  # 1995,Zhao Wenrong+       ## S0044004  #dY:4.7%   
         20.17         0.49      0.05749      0.00016  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.3%   
         20.24         0.28        0.067       0.0076  # 1996,S.Takacs+           ## D4044004  #dY:11.3%  
         20.71            0      0.07439       0.0099  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
         20.78         0.26        0.065       0.0075  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
         21.32         0.25        0.061        0.007  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
          21.4          1.5        0.049        0.005  # 2000,A.Hermanne+         ## D4082003  #dY:10.2%  
         21.55         0.49       0.0545      0.00015  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.3%   
         22.28            0      0.06821      0.00964  # 2007,K.Ochiai+           ## E2121006  #dY:14.1%  
         22.28         0.49      0.05212      0.00015  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.3%   
          23.7          0.4        0.049        0.005  # 2000,A.Hermanne+         ## D4082003  #dY:10.2%  
         23.76            0       0.0569      0.00757  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
         23.78         0.47      0.04907      0.00014  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.3%   
            25          1.3         0.04        0.004  # 2000,A.Hermanne+         ## D4082003  #dY:10.0%  
         25.98            0      0.05491      0.00744  # 2007,K.Ochiai+           ## E2121006  #dY:13.5%  
         26.38            0      0.05372      0.00715  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
         27.65            0       0.0509      0.00671  # 2007,K.Ochiai+           ## E2121006  #dY:13.2%  
          28.2          0.3        0.039        0.004  # 2000,A.Hermanne+         ## D4082003  #dY:10.3%  
         28.54            0      0.04651      0.00619  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
            29          1.1        0.043        0.004  # 2000,A.Hermanne+         ## D4082003  #dY:9.3%   
            29          0.2        0.031        0.003  # 2000,A.Hermanne+         ## D4082003  #dY:9.7%   
          29.5            0      0.04832      0.00623  # 2007,K.Ochiai+           ## E2121006  #dY:12.9%  
         30.59            0      0.04136      0.00551  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
          31.1          0.9        0.028        0.003  # 2000,A.Hermanne+         ## D4082003  #dY:10.7%  
         31.27            0       0.0392      0.00508  # 2007,K.Ochiai+           ## E2121006  #dY:13.0%  
         32.38            0      0.03902      0.00519  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
          33.2          0.8        0.026        0.003  # 2000,A.Hermanne+         ## D4082003  #dY:11.5%  
         33.56            0      0.03621       0.0047  # 2007,K.Ochiai+           ## E2121006  #dY:13.0%  
         35.01            0       0.0372       0.0048  # 2007,K.Ochiai+           ## E2121006  #dY:12.9%  
          35.2          0.7        0.027        0.003  # 2000,A.Hermanne+         ## D4082003  #dY:11.1%  
         36.58            0      0.03621      0.00466  # 2007,K.Ochiai+           ## E2121006  #dY:12.9%  
            37          0.6        0.022        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:9.1%   
          38.1            0      0.03196      0.00415  # 2007,K.Ochiai+           ## E2121006  #dY:13.0%  
          38.4          0.6         0.02        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:10.0%  
         39.57            0      0.03001      0.00431  # 2007,K.Ochiai+           ## E2121006  #dY:14.4%  
          40.6          0.5        0.023        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:8.7%   
          42.3          0.5        0.018        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:11.1%  
          42.6            0      0.02993      0.00399  # 2007,K.Ochiai+           ## E2121006  #dY:13.3%  
         43.67            0      0.02919      0.00377  # 2007,K.Ochiai+           ## E2121006  #dY:12.9%  
          43.9          0.4        0.019        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:10.5%  
          45.5          0.3        0.017        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:11.8%  
          47.1          0.2        0.017        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:11.8%  
         47.27            0       0.0267      0.00343  # 2007,K.Ochiai+           ## E2121006  #dY:12.8%  
          48.6          0.2        0.018        0.002  # 2000,A.Hermanne+         ## D4082003  #dY:11.1%  
//
#-------------------------------------------------------------------------------
