natCu(d,x)65Zn					
					
					
	fit	fit			
46.3	27.19	1.15	1.18E+00	3.20E+01	1.18E+00
46.4	27.10	1.15	1.18E+00	3.20E+01	1.18E+00
46.5	27.00	1.14	1.19E+00	3.20E+01	1.19E+00
46.6	26.91	1.14	1.19E+00	3.21E+01	1.19E+00
46.7	26.82	1.13	1.19E+00	3.21E+01	1.19E+00
46.8	26.73	1.13	1.19E+00	3.21E+01	1.19E+00
46.9	26.64	1.13	1.19E+00	3.22E+01	1.19E+00
47.0	26.55	1.12	1.19E+00	3.22E+01	1.19E+00
47.1	26.46	1.12	1.19E+00	3.22E+01	1.19E+00
47.2	26.37	1.11	1.19E+00	3.23E+01	1.19E+00
47.3	26.28	1.11	1.20E+00	3.23E+01	1.20E+00
47.4	26.19	1.11	1.20E+00	3.23E+01	1.20E+00
47.5	26.11	1.10	1.20E+00	3.24E+01	1.20E+00
47.6	26.02	1.10	1.20E+00	3.24E+01	1.20E+00
47.7	25.94	1.10	1.20E+00	3.24E+01	1.20E+00
47.8	25.85	1.09	1.20E+00	3.25E+01	1.20E+00
47.9	25.77	1.09	1.20E+00	3.25E+01	1.20E+00
48.0	25.69	1.09	1.20E+00	3.26E+01	1.20E+00
48.1	25.60	1.08	1.21E+00	3.26E+01	1.21E+00
48.2	25.52	1.08	1.21E+00	3.26E+01	1.21E+00
48.3	25.44	1.08	1.21E+00	3.27E+01	1.21E+00
48.4	25.36	1.07	1.21E+00	3.27E+01	1.21E+00
48.5	25.28	1.07	1.21E+00	3.27E+01	1.21E+00
48.6	25.20	1.07	1.21E+00	3.28E+01	1.21E+00
48.7	25.12	1.06	1.21E+00	3.28E+01	1.21E+00
48.8	25.04	1.06	1.21E+00	3.28E+01	1.21E+00
48.9	24.96	1.06	1.22E+00	3.29E+01	1.22E+00
49.0	24.89	1.05	1.22E+00	3.29E+01	1.22E+00
49.1	24.81	1.05	1.22E+00	3.29E+01	1.22E+00
49.2	24.73	1.05	1.22E+00	3.30E+01	1.22E+00
49.3	24.66	1.04	1.22E+00	3.30E+01	1.22E+00
49.4	24.58	1.04	1.22E+00	3.30E+01	1.22E+00
49.5	24.51	1.04	1.22E+00	3.31E+01	1.22E+00
49.6	24.43	1.03	1.22E+00	3.31E+01	1.22E+00
49.7	24.36	1.03	1.23E+00	3.31E+01	1.23E+00
49.8	24.29	1.03	1.23E+00	3.32E+01	1.23E+00
49.9	24.21	1.02	1.23E+00	3.32E+01	1.23E+00
50.0	24.14	1.04	1.23E+00	3.32E+01	1.23E+00
50.1	24.07	1.03	1.23E+00	3.33E+01	1.23E+00
50.2	24.00	1.03	1.23E+00	3.33E+01	1.23E+00
50.3	23.93	1.03	1.23E+00	3.33E+01	1.23E+00
50.4	23.86	1.03	1.23E+00	3.34E+01	1.23E+00
50.5	23.79	1.02	1.24E+00	3.34E+01	1.24E+00
50.6	23.72	1.02	1.24E+00	3.34E+01	1.24E+00
50.7	23.65	1.02	1.24E+00	3.35E+01	1.24E+00
50.8	23.59	1.01	1.24E+00	3.35E+01	1.24E+00
50.9	23.52	1.01	1.24E+00	3.35E+01	1.24E+00
51.0	23.45	1.01	1.24E+00	3.36E+01	1.24E+00
51.1	23.39	1.00	1.24E+00	3.36E+01	1.24E+00
51.2	23.32	1.00	1.24E+00	3.36E+01	1.24E+00
51.3	23.25	1.00	1.25E+00	3.37E+01	1.24E+00
51.4	23.19	1.00	1.25E+00	3.37E+01	1.25E+00
51.5	23.12	0.99	1.25E+00	3.37E+01	1.25E+00
51.6	23.06	0.99	1.25E+00	3.37E+01	1.25E+00
51.7	22.99	0.99	1.25E+00	3.38E+01	1.25E+00
51.8	22.93	0.99	1.25E+00	3.38E+01	1.25E+00
51.9	22.87	0.98	1.25E+00	3.38E+01	1.25E+00
52.0	22.80	0.98	1.25E+00	3.39E+01	1.25E+00
52.1	22.74	0.98	1.25E+00	3.39E+01	1.25E+00
52.2	22.68	0.97	1.26E+00	3.39E+01	1.26E+00
52.3	22.62	0.97	1.26E+00	3.40E+01	1.26E+00
52.4	22.55	0.97	1.26E+00	3.40E+01	1.26E+00
52.5	22.49	0.97	1.26E+00	3.40E+01	1.26E+00
52.6	22.43	0.96	1.26E+00	3.41E+01	1.26E+00
52.7	22.37	0.96	1.26E+00	3.41E+01	1.26E+00
52.8	22.31	0.96	1.26E+00	3.41E+01	1.26E+00
52.9	22.25	0.96	1.26E+00	3.42E+01	1.26E+00
53.0	22.19	0.95	1.27E+00	3.42E+01	1.27E+00
53.1	22.13	0.95	1.27E+00	3.42E+01	1.27E+00
53.2	22.07	0.95	1.27E+00	3.43E+01	1.27E+00
53.3	22.01	0.95	1.27E+00	3.43E+01	1.27E+00
53.4	21.95	0.94	1.27E+00	3.43E+01	1.27E+00
53.5	21.89	0.94	1.27E+00	3.44E+01	1.27E+00
53.6	21.83	0.94	1.27E+00	3.44E+01	1.27E+00
53.7	21.77	0.94	1.27E+00	3.44E+01	1.27E+00
53.8	21.71	0.93	1.27E+00	3.45E+01	1.27E+00
53.9	21.65	0.93	1.28E+00	3.45E+01	1.28E+00
54.0	21.59	0.93	1.28E+00	3.45E+01	1.28E+00
54.1	21.53	0.93	1.28E+00	3.45E+01	1.28E+00
54.2	21.47	0.92	1.28E+00	3.46E+01	1.28E+00
54.3	21.42	0.92	1.28E+00	3.46E+01	1.28E+00
54.4	21.36	0.92	1.28E+00	3.46E+01	1.28E+00
54.5	21.30	0.92	1.28E+00	3.47E+01	1.28E+00
54.6	21.24	0.91	1.28E+00	3.47E+01	1.28E+00
54.7	21.18	0.91	1.29E+00	3.47E+01	1.29E+00
54.8	21.12	0.91	1.29E+00	3.48E+01	1.29E+00
54.9	21.07	0.91	1.29E+00	3.48E+01	1.29E+00
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
